
# Surface 0 of 1 surfaces

# Curve title: "'jone_physicsxe_gnu_radn.gnu' using ($3):($4):($5 <= 1 ? 1/0 :$5)"

# Contour 0, label:  2.2e+05
 3.15  0.835326  180000 
 3.135  0.842448  180000 
 3.12  0.848843  180000 
 3.105  0.854471  180000 
 3.09  0.859294  180000 
 3.075  0.863271  180000 
 3.06  0.866368  180000 
 3.045  0.868561  180000 
 3.03  0.869832  180000 
 3.015  0.870161  180000 
 3  0.86953  180000 
 2.985  0.867923  180000 
 2.97  0.865346  180000 
 2.955  0.861808  180000 
 2.94  0.857318  180000 
 2.925  0.851885  180000 
 2.91  0.84554  180000 

 2.75626  0.744741  180000 
 2.74777  0.73371  180000 
 2.73781  0.720555  180000 
 2.72719  0.706288  180000 
 2.71669  0.691923  180000 
 2.70709  0.678472  180000 
 2.69898  0.666599  180000 
 2.69203  0.655568  180000 
 2.68569  0.644296  180000 
 2.67942  0.631697  180000 
 2.67267  0.616688  180000 
 2.66508  0.598635  180000 
 2.65704  0.578707  180000 
 2.64911  0.558522  180000 
 2.64186  0.5397  180000 
 2.63586  0.52386  180000 
 2.63148  0.51206  180000 
 2.6284  0.503114  180000 
 2.62607  0.495272  180000 
 2.62398  0.486786  180000 
 2.62161  0.475909  180000 
 2.61855  0.461305  180000 
 2.61497  0.443297  180000 
 2.61116  0.42262  180000 
 2.6074  0.40001  180000 
 2.60398  0.376204  180000 
 2.60116  0.351829  180000 
 2.59897  0.327085  180000 
 2.59743  0.302065  180000 
 2.59655  0.27686  180000 
 2.59633  0.251563  180000 
 2.59677  0.226277  180000 
 2.59785  0.201155  180000 
 2.59956  0.176358  180000 
 2.60185  0.15205  180000 
 2.60472  0.128393  180000 
 2.6081  0.105611  180000 
 2.61178  0.0841677  180000 
 2.61553  0.0645861  180000 
 2.6191  0.0473905  180000 
 2.62225  0.0331047  180000 
 2.62486  0.0219093  180000 
 2.62728  0.0126111  180000 
 2.62999  0.00367396  180000 
 2.63346 -0.00643859  180000 
 2.63816 -0.0192629  180000 
 2.6444 -0.035814  180000 
 2.65177 -0.0550219  180000 
 2.65971 -0.0752954  180000 
 2.66765 -0.0950433  180000 
 2.67502 -0.112674  180000 
 2.68145 -0.127064  180000 
 2.68738 -0.138958  180000 
 2.69345 -0.149569  180000 
 2.7003 -0.160109  180000 
 2.70857 -0.17179  180000 
 2.71863 -0.185426  180000 
 2.72978 -0.200227  180000 
 2.74108 -0.215007  180000 
 2.75156 -0.228578  180000 
 2.76027 -0.239751  180000 
 2.76659 -0.247713  180000 
 2.7713 -0.253136  180000 
 2.77551 -0.257068  180000 
 2.78035 -0.260555  180000 
 2.78694 -0.264645  180000 
 2.79611 -0.27014  180000 
 2.80758 -0.276874  180000 
 2.82076 -0.284436  180000 
 2.8351 -0.292416  180000 
 2.85 -0.300405  180000 
 2.865 -0.308041  180000 
 2.88 -0.315161  180000 
 2.895 -0.321653  180000 
 2.91 -0.327403  180000 
 2.925 -0.332298  180000 
 2.94 -0.336245  180000 
 2.955 -0.339233  180000 
 2.97 -0.34127  180000 
 2.985 -0.342365  180000 
 3 -0.342526  180000 
 3.015 -0.341766  180000 
 3.03 -0.340117  180000 
 3.045 -0.337615  180000 
 3.06 -0.334296  180000 
 3.075 -0.330198  180000 
 3.09 -0.325367  180000 
 3.105 -0.319896  180000 
 3.12 -0.313891  180000 
 3.135 -0.307456  180000 
 3.15 -0.300695  180000 
 3.16492 -0.29374  180000 
 3.17933 -0.286828  180000 
 3.19275 -0.280224  180000 
 3.20467 -0.27419  180000 
 3.21459 -0.268991  180000 
